name,gutendex_query,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes
Arnold Bennett,Bennett Arnold,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
R. D. Blackmore,Blackmore,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Samuel Butler,Butler Samuel,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Edward Bulwer-Lytton,Bulwer-Lytton,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
George Gissing,Gissing,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
George Meredith,Meredith George,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Charles Reade,Reade Charles,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Margaret Oliphant,Oliphant,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Marie Corelli,Corelli,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Elizabeth von Arnim,Arnim,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
H. Rider Haggard,Haggard,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Joseph Sheridan Le Fanu,Le Fanu,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Jerome K. Jerome,Jerome,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Saki,Munro Hector Hugh,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
John Buchan,Buchan John,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
R. Austin Freeman,Freeman R Austin,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Anna Katharine Green,Green Anna Katharine,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Mary Roberts Rinehart,Rinehart,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Booth Tarkington,Tarkington,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
Gene Stratton-Porter,Stratton-Porter,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose
