name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes
George Washington,rhetorical,en,18c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
John Adams,rhetorical,en,18c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Thomas Jefferson,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
James Madison,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
James Monroe,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
John Quincy Adams,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Andrew Jackson,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Martin Van Buren,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
John Tyler,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
James K. Polk,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Zachary Taylor,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
Millard Fillmore,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material
