method,profile,top3_count,false_top3_count,source_balanced_false_top3_mass,source_balanced_false_top3_share
uncorrected_centroid,it::Luigi Capuana,648,595,11.904999999999836,0.010975276967018124
uncorrected_centroid,en::L. M. Montgomery,632,563,15.597221076025273,0.014379153399848146
uncorrected_centroid,ru::Ivan Turgenev,551,463,9.259999999999891,0.008536838699251412
uncorrected_centroid,fr::Octave Feuillet,519,454,9.21333333333323,0.00849381647398521
uncorrected_centroid,de::Marie von Ebner-Eschenbach,465,449,10.17105067299314,0.009376740712446648
uncorrected_centroid,de::Arthur Schnitzler,514,444,9.493582143650455,0.008752179205014938
uncorrected_centroid,fr::Guy de Maupassant,502,442,8.862857142857042,0.00817071078219003
uncorrected_centroid,it::Antonio Fogazzaro,495,439,8.844999999999912,0.008154248195991238
uncorrected_centroid,es::Benito Perez Galdos,475,439,8.779999999999902,0.008094324382227585
uncorrected_centroid,en::Katherine Mansfield,514,436,9.708314222009784,0.008950141744594704
uncorrected_centroid,en::Jack London,479,424,8.705886685777896,0.008025998960091494
uncorrected_centroid,fr::Paul Bourget,456,424,8.506666666666574,0.007842337062811237
uncorrected_centroid,de::Wilhelm Hauff,509,419,8.501437440808083,0.007837516214250126
uncorrected_centroid,it::Federico De Roberto,461,417,8.34499999999991,0.00769329578242474
uncorrected_centroid,en::Nathaniel Hawthorne,486,416,8.327027027026938,0.007676726411883026
uncorrected_centroid,fr::Jean Lorrain,482,410,8.20761904761896,0.007566643619268615
uncorrected_centroid,en::Willa Cather,475,410,9.189908564698577,0.00847222106670645
uncorrected_centroid,ja::Natsume Soseki,449,380,10.089405687191997,0.00930147180592537
uncorrected_centroid,en::Sarah Orne Jewett,399,379,11.12177713590751,0.010253220027890482
uncorrected_centroid,de::Ricarda Huch,375,372,7.583776765869723,0.006991520408354332
uncorrected_centroid,en::Washington Irving,452,369,7.406773618538255,0.006828340352411719
uncorrected_centroid,fr::Alphonse Daudet,412,368,7.363809523809455,0.00678873154608784
uncorrected_centroid,de::Rainer Maria Rilke,378,368,7.898759689922418,0.0072819046865029765
uncorrected_centroid,en::Stephen Crane,413,365,7.365911330049194,0.0067906692114059536
uncorrected_centroid,it::Alfredo Panzini,411,362,7.239999999999934,0.0066745909484428045
uncorrected_centroid,de::Jakob Wassermann,395,362,8.156754496453487,0.007519751344019212
uncorrected_centroid,ja::Mori Ogai,389,361,9.125391713549524,0.008412742670200717
uncorrected_centroid,en::Elizabeth Cleghorn Gaskell,407,360,7.236666666666601,0.006671517932352362
uncorrected_centroid,en::Sinclair Lewis,408,359,7.627675399313265,0.007031990770430476
