method,group_type,group,n_queries,n_true_profiles,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_20
whitened_cosine:0.3,language,de,1473,30,0.3456782433673104,0.18653535353535353,0.39453872053872063,0.5037851059615767,0.9193636363636364
whitened_cosine:0.3,language,en,4549,99,0.4975009914600675,0.36564784235816367,0.5623476415625929,0.6477545851426803,0.8554624960827006
whitened_cosine:0.3,language,es,650,13,0.6567272300349223,0.5030769230769231,0.763076923076923,0.8692307692307693,1.0
whitened_cosine:0.3,language,fr,1492,30,0.46776273853256334,0.3148888888888889,0.540031746031746,0.6350793650793649,0.9281587301587302
whitened_cosine:0.3,language,it,890,18,0.5916684863792707,0.42055555555555557,0.6944444444444443,0.8077777777777777,1.0
whitened_cosine:0.3,language,ja,345,9,0.5398038182434466,0.35838731443994604,0.642047643618851,0.8016830065359477,1.0
whitened_cosine:0.3,language,pl,195,4,0.5715277777777777,0.29444444444444445,0.8883333333333334,1.0,1.0
whitened_cosine:0.3,language,ru,571,12,0.5150157126823792,0.3136507936507937,0.6307936507936508,0.7793650793650793,1.0
whitened_cosine:0.3,language,zh,200,4,0.8520833333333333,0.74,0.965,1.0,1.0
whitened_cosine:0.3,corpus,literary,9838,206,0.48908956206627896,0.3388175957302797,0.5636480231832034,0.6654703823338302,0.9096451111187722
whitened_cosine:0.3,corpus,rhetorical,527,13,0.678748610153407,0.5140393905611297,0.8291787439613526,0.893405177753004,0.9791973244147157
exposure_prior[penalty=0.01],language,de,1473,30,0.34528712278902657,0.18653535353535353,0.3924646464646465,0.5037851059615766,0.9206969696969696
exposure_prior[penalty=0.01],language,en,4549,99,0.49917833239804316,0.3680950404762764,0.5622322014471528,0.6488005322755839,0.8576239460702375
exposure_prior[penalty=0.01],language,es,650,13,0.6603749711826634,0.5107692307692308,0.7584615384615384,0.8723076923076925,1.0
exposure_prior[penalty=0.01],language,fr,1492,30,0.46836169767384056,0.3156825396825397,0.5333650793650794,0.6385396825396826,0.9288253968253969
exposure_prior[penalty=0.01],language,it,890,18,0.5911634563693388,0.42055555555555557,0.6922222222222222,0.8011111111111112,1.0
exposure_prior[penalty=0.01],language,ja,345,9,0.5359674537756323,0.34753936122357176,0.6484365325077399,0.799921740626075,1.0
exposure_prior[penalty=0.01],language,pl,195,4,0.5695833333333333,0.2888888888888889,0.8927777777777778,1.0,1.0
exposure_prior[penalty=0.01],language,ru,571,12,0.5169336419753086,0.3186507936507937,0.6274603174603176,0.7776984126984127,1.0
exposure_prior[penalty=0.01],language,zh,200,4,0.845,0.725,0.97,1.0,1.0
exposure_prior[penalty=0.01],corpus,literary,9838,206,0.4894172699231152,0.33933326726587715,0.5617141735915868,0.6660285627107607,0.9109751283457923
exposure_prior[penalty=0.01],corpus,rhetorical,527,13,0.6860940675516158,0.5248086213303604,0.8353325901151988,0.8915991576861143,0.9791973244147157
