name,gutendex_query,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,verified_independent_works,gutenberg_ids,titles,eligible
Arnold Bennett,Bennett Arnold,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,52,2813|2274|23347|22437|20600|12794|5247|55116|58075|40483|12995|12654|17176|12673|14487|21249|12811|15717|40343|13293|11360|8405|10658|35505|4734|13852|66661|40168|10911|11641|12743|12779|52247|55113|13449|15063|12687|13894|40103|64933|12611|55114|13723|55115|14653|12773|58666|15712|50331|63580|29860|75928,"The Grand Babylon Hôtel | How to Live on 24 Hours a Day | Mental Efficiency, and Other Hints to Men and Women | The Price of Love | The Card, a Story of Adventure in the Five Towns | Judith, a Play in Three Acts; Founded on the Apocryphal Book of Judith | The Old Wives' Tale | Paris Nights, and Other Impressions of Places and People | Index of the Project Gutenberg Works of Arnold Bennett | These Twain | The Matador of the Five Towns and Other Stories | The Roll-Call | The Ghost: A Modern Fantasy | The Pretty Lady | The Lion's Share | Clayhanger | The Human Machine | Books and Persons; Being Comments on a Past Epoch, 1908-1911 | Lilian | Tales of the Five Towns | Sacred and Profane Love: A Novel in Three Episodes | Journalism for Women: A Practical Guide | Hilda Lessways | Anna of the Five Towns | The Grim Smile of the Five Towns | Literary Taste: How to Form It: With Detailed Instructions for Collecting a Complete Library of English Literature | The Truth About an Author | The Old Adam: A Story of Adventure | Buried Alive: A Tale of These Days | Over There: War Scenes on the Western Front | The Author's Craft | Helen with the High Hand (2nd ed.) | A Man from the North | From the Log of the Velsa | The Plain Man and His Wife | Your United States: Impressions of a first visit | The Title: A Comedy in Three Acts | The Great Adventure: A Play of Fancy in Four Acts | Denry the Audacious | The Arnold Bennett Calendar | The Regent | Teresa of Watling Street: A Fantasia on Modern Themes | Leonora | The City of Pleasure : $b a fantasia on modern themes | The Feast of St. Friend | Mr. Prohack | Riceyman Steps: A Novel | Hugo: A Fantasia on Modern Themes | The Honeymoon: A comedy in three acts | The Loot of Cities: Being the Adventures of a Millionaire in Search of Joy (a Fantasia); and Other Stories | A Great Man: A Frolic | Self and self-management : $b Essays about existing",true
R. D. Blackmore,Blackmore,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,23,17460|22474|41022|7435|49075|7112|46156|6824|47086|42529|46467|43281|22315|45038|49520|22318|22317|58162|47084|47085|13484|51497|22316,"Lorna Doone: A Romance of Exmoor | Fringilla: Some Tales In Verse | Clara Vaughan, Volume 3 (of 3) | Springhaven: A Tale of the Great War | Alice Lorraine: A Tale of the South Downs | Erema; Or, My Father's Sin | The Maid of Sker | Mary Anerley: A Yorkshire Tale | Cradock Nowell: A Tale of the New Forest. Vol. 3 (of 3) | Dariel: A Romance of Surrey | The Remarkable History of Sir Thomas Upmore, bart., M.P., formerly known as ""Tommy Upmore"" | Cripps, the Carrier: A Woodland Tale | Slain By The Doones | Perlycross: A Tale of the Western Hills | Kit and Kitty: A Story of West Middlesex | Crocker's Hole: From ""Slain By The Doones"" By R. D. Blackmore | George Bowring - A Tale Of Cader Idris: From ""Slain By The Doones"" By R. D. Blackmore | Index of the Project Gutenberg Works of R. D. Blackmore | Cradock Nowell: A Tale of the New Forest. Vol. 1 (of 3) | Cradock Nowell: A Tale of the New Forest. Vol. 2 (of 3) | Essay upon Wit | Tales from the Telling-House | Frida; or, the lover's leap: a legend of the West Country: From ""Slain by the Doones"" by R. D. Blackmore",true
Samuel Butler,Butler Samuel,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,21,23427|6173|1906|49324|2084|2576|6605|4937|6138|12651|17124|4967|2513|3461|6092|3279|4073|3235|1971|3278|19610,"Evolution, Old & New: Or, the Theories of Buffon, Dr. Erasmus Darwin and Lamarck,; as compared with that of Charles Darwin | The Note-Books of Samuel Butler | Erewhon; Or, Over the Range | The Authoress of the Odyssey: Where and when she wrote, who she was, the use she made of the Iliad, and how the poem grew under her hands | The Way of All Flesh | Alps and Sanctuaries of Piedmont and the Canton Ticino | Unconscious Memory | Hudibras, in Three Parts, Written in the Time of the Late Wars | Life and Habit | The Humour of Homer and Other Essays | Atlas of ancient & classical geography | Luck, or Cunning, as the Main Means of Organic Modification | God the Known and God the Unknown | Essays on Life, Art and Science | The Fair Haven | Canterbury Pieces | Ex Voto: An Account of the Sacro Monte or New Jerusalem at Varallo-Sesia: With Some Notice of Tabachetti's Remaining Work at the Sanctuary of Crea | A First Year in Canterbury Settlement | Erewhon Revisited Twenty Years Later, Both by the Original Discoverer of the Country and by His Son | Cambridge Pieces | Selections from Previous Works: With Remarks on Romanes' Mental Evolution in Animals, and a Psalm of Montreal",true
George Gissing,Gissing,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,24,1709|4313|1463|4526|4301|4307|4309|4302|4305|4306|4299|11603|4354|4311|54432|4303|54431|4304|4312|4541|4310|4297|4298|4308,"New Grub Street | The Odd Women | The Private Papers of Henry Ryecroft | Born in Exile | The Nether World | In the Year of Jubilee | Demos | Thyrza | The Unclassed | Veranilda | The Whirlpool | The House of Cobwebs and Other Stories | By the Ionian Sea: Notes of a Ramble in Southern Italy | The Emancipated | Isabel Clarendon, Vol. 2 (of 2) | Denzil Quarrier | Isabel Clarendon, Vol. 1 (of 2) | Our Friend the Charlatan | A Life's Morning | The Crown of Life | Will Warburton | Eve's Ransom | The Paying Guest | The Town Traveller",true
George Meredith,Meredith George,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,47,4499|4488|4405|4500|4460|1684|1219|4420|4476|4434|4443|4470|1382|4452|4482|4464|4412|7550|4426|34858|4491|1042|63672|4402|4495|4406|28823|4424|4465|4447|4904|4441|4429|4463|4496|4494|4453|4489|4419|4472|4487|4492|4493|4497|4498|47225|4477,"Complete Short Works of George Meredith | The Amazing Marriage — Complete | The Shaving of Shagpat; an Arabian entertainment — Complete | Complete Project Gutenberg Works of George Meredith | Beauchamp's Career — Complete | The Egoist: A Comedy in Narrative | An Essay on Comedy and the Uses of the Comic Spirit | Sandra Belloni (originally Emilia in England) — Complete | One of Our Conquerors — Complete | Evan Harrington — Complete | Vittoria — Complete | Diana of the Crossways — Complete | Poems — Volume 2 | The Adventures of Harry Richmond — Complete | Lord Ormont and His Aminta — Complete | The Tragic Comedians: A Study in a Well-known Story — Complete | The Ordeal of Richard Feverel — Complete | Quotes and Images From The Works of George Meredith | Rhoda Fleming — Complete | The Ordeal of Richard Feverel: A History of a Father and Son | Celt and Saxon — Complete | A Reading of Life, with Other Poems | Poems and Lyrics of the Joy of Earth | The Shaving of Shagpat; an Arabian entertainment — Volume 2 | The House on the Beach: A Realistic Tale | The Ordeal of Richard Feverel — Volume 1 | The Works of George Meredith: A Linked Index to the Project Gutenberg Editions | Rhoda Fleming — Volume 4 | Diana of the Crossways — Volume 1 | The Adventures of Harry Richmond — Volume 4 | Quotations from the Project Gutenberg Editions of the Collected Works of George Meredith | Vittoria — Volume 7 | Evan Harrington — Volume 3 | The Tragic Comedians: A Study in a Well-known Story — Volume 3 | The Gentleman of Fifty and The Damsel of Nineteen (An early uncompleted fragment) | The Tale of Chloe: An Episode in the History of Beau Beamish | Beauchamp's Career — Volume 1 | Celt and Saxon — Volume 1 | Sandra Belloni — Volume 7 | One of Our Conquerors — Volume 2 | The Amazing Marriage — Volume 5 | Farina | The Case of General Ople and Lady Camper | The Sentimentalists | Miscellaneous Prose | Ballads and Poems of Tragic Life | Lord Ormont and His Aminta — Volume 1",true
Charles Reade,Reade Charles,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,14,7895|2497|3067|1366|4606|2301|38895|4607|2472|3669|57685|3671|3670|12470,"A Terrible Temptation: A Story of To-Day | Put Yourself in His Place | Hard Cash | The Cloister and the Hearth | It Is Never Too Late to Mend | A Simpleton | The Cloister and the Hearth: A Tale of the Middle Ages | Love Me Little, Love Me Long | White Lies | A Woman-Hater | Griffith Gaunt; or, Jealousy: Volumes 1 to 3 (of 3) | Christie Johnstone: A Novel | Peg Woffington | A Perilous Secret",true
Margaret Oliphant,Oliphant,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,143,25701|28006|50026|59918|2553|10052|55122|41286|61378|28629|66376|47306|43084|51265|65458|36277|64540|32642|65226|55125|64888|61782|16226|58323|65631|53744|74930|54053|63901|65934|63158|65935|59211|64778|65153|65330|30692|51617|52615|11521|10050|63302|48199|65328|52388|40135|63582|49597|10049|45816|43404|45818|54106|42044|30835|53644|52575|52756|54108|64777|61916|45817|55140|61444|55166|61482|71466|65227|65329|54882|61954|62466|53182|55155|60018|74734|62465|63562|61443|54841|52060|65633|55827|63902|53645|42013|59424|42045|53583|58707|43811|63903|15410|57988|59759|61915|63142|47555|47591|61445|44080|61442|55270|29890|58253|71919|72221|47592|64779|17120|55868|10051|54510|62464|73086|55121|51816|55784|72777|47557|71671|47556|54937|59721|58320|58710|47619|59326|61914|78381|47618|58446|29891|58322|47620|72715|58462|58321|59720|59055|47593|58470|58459,"Royal Edinburgh: Her Saints, Kings, Prophets and Poets | The Perpetual Curate | Haifa; or, Life in modern Palestine | The Story of a Governess | Jeanne D'Arc: Her Life And Death | The Open Door, and the Portrait.: Stories of the Seen and the Unseen. | The Athelings; or, the Three Gifts. Complete | Miss Marjoribanks | Joyce | Phoebe, Junior | Young Musgrave | Tobias Smollett | A Widow's Tale, and Other Stories | The Last of the Mortimers: A Story in Two Voices | The Primrose Path: A Chapter in the Annals of the Kingdom of Fife | Piccadilly: A Fragment of Contemporary Biography | The Greatest Heiress in England | Allan Ramsay | John, A Love Story; vol. 1 of 2 | Madam: A Novel | In Trust: The Story of a Lady and Her Lover | A Poor Gentleman | A Journey to Katmandu (the Capital of Napaul), with the Camp of Jung Bahadoor: Including a Sketch of the Nepaulese Ambassador at Home | The Three Brothers; Complete | May; vol. I | Sir Robert's Fortune: A Novel | Memoirs and resolutions of Adam Graeme of Mossgray, including some chronicles of the borough of Fendie | The Laird of Norlaw; A Scottish Story | The Duke's Daughter; and, The Fugitives; vol. 1/3 | For love and life; vol. 1 of 2 | Harry Joscelyn; vol. 2 of 3 | For love and life; vol. 2 of 2 | The Marriage of Elinor | He that will not when he may; vol. II | Within the Precincts | Mrs. Arthur; vol. 3 of 3 | Sir Tom | The Sorceress; v. 1 of 3 | The Two Marys | A Beleaguered City: Being a Narrative of Certain Recent Events in the City of Semur, in the Department of the Haute Bourgogne. A Story of the Seen and the Unseen | A Little Pilgrim: Stories of the Seen and the Unseen | Cousin Mary | Hester: A Story of Contemporary Life, Volume 3 (of 3) | Mrs. Arthur; vol. 1 of 3 | Whiteladies | The Makers of Modern Rome, in Four Books | Oliver's Bride; A true Story | It was a Lover and His Lass | Old Lady Mary: A Story of the Seen and the Unseen | The House on the Moor, v. 1/3 | The Days of My Life: An Autobiography | The House on the Moor, v. 3/3 | Neighbours on the Green | Salem Chapel, v. 2/2 | A Country Gentleman and His Family | Historical Characters in the Reign of Queen Anne | The Cuckoo in the Nest, v. 1/2 | The Cuckoo in the Nest, v. 2/2 | Squire Arden; volume 1 of 3 | He that will not when he may; vol. I | Effie Ogilvie: the story of a young life (Complete) | The House on the Moor, v. 2/3 | A House in Bloomsbury | A House Divided Against Itself; vol. 3 of 3 | The Unjust Steward; or, The Minister's Debt | The Mystery of Mrs. Blencarrow | Queer questions and ready replies : $b A collection of four hundred questions in history, geography, biography, mythology, philosophy, natural history, science, philology, etc., etc., with their answers | John, A Love Story; vol. 2 of 2 | Mrs. Arthur; vol. 2 of 3 | A Rose in June | The Lady's Walk | The Prodigals and Their Inheritance; Complete | The Sorceress, v. 3 of 3 | Old Mr. Tredgold | The Son of His Father; vol. 3/3 | Caleb Field : $b A tale of the Puritans | The Prodigals and Their Inheritance; vol. 2 | Harry Joscelyn; vol. 3 of 3 | A House Divided Against Itself; vol. 2 of 3 | Brownlows: A Novel | The Sorceress (complete) | May; vol. II | Who Was Lost and Is Found: A Novel | The Duke's Daughter; and, The Fugitives; vol. 2/3 | Heart and Cross | Salem Chapel, v. 1/2 | The Railway Man and His Children | The Curate in Charge | Ombra | Kirsteen: The Story of a Scotch Family Seventy Years Ago | Merkland; or, Self Sacrifice | The Duke's Daughter; and, The Fugitives; vol. 3/3 | A Little Pilgrim in the Unseen | A Son of the Soil | The Executor: Blackwood's Edinburgh Magazine vol. LXXXIX | Effie Ogilvie: the story of a young life; vol. 2 | Harry Joscelyn; vol. 1 of 3 | The Wizard's Son, Vol. 1 (of 3) | The Ladies Lindores, Vol. 1 (of 3) | A House Divided Against Itself (Complete) | Madonna Mary | A House Divided Against Itself; vol. 1 of 3 | The Ways of Life: Two Stories | The Doctor's Family | The Minister's Wife | Christian Melville | Carità | The Ladies Lindores, Vol. 2 (of 3) | He that will not when he may; vol. III | Fashionable Philosophy, and Other Sketches | Lady William | The Little Pilgrim: Further Experiences.: Stories of the Seen and the Unseen. | The Athelings; or, the Three Gifts. Vol. 1/3 | The Prodigals and Their Inheritance; vol. 1 | Harry Muir : $b A story of Scottish life, vol. 3 (of 3) | The Athelings; or, the Three Gifts. Vol. 3/3 | The Sorceress, v. 2 of 3 | Two Strangers | Harry Muir : $b A story of Scottish life, vol. 2 (of 3) | The Wizard's Son, Vol. 3 (of 3) | Innocent : $b a tale of modern life | The Wizard's Son, Vol. 2 (of 3) | The Athelings; or, the Three Gifts. Vol. 2/3 | The Son of His Father; vol. 2/3 | The Three Brothers; vol. 1/3 | The Land of Darkness: Along with Some Further Chapters in the Experiences of the Little Pilgrim | At His Gates: A Novel. Vol. 2 (of 3) | The Quiet Heart | Effie Ogilvie: the story of a young life; vol. 1 | An odd couple | At His Gates: A Novel. Vol. 1 (of 3) | Sons and Daughters | The Rector | The Three Brothers; vol. 3/3 | At His Gates: A Novel. Vol. 3 (of 3) | Harry Muir : $b A story of Scottish life, vol. 1 (of 3) | The Story of Valentine and His Brother | The Three Brothers; vol. 2/3 | The Son of His Father; vol. 1/3 | The Heir Presumptive and the Heir Apparent | The Ladies Lindores, Vol. 3 (of 3) | Diana Trelawny | Lady Car: The Sequel of a Life",true
Marie Corelli,Corelli,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,25,3823|42332|4360|4394|6921|5114|4285|68771|3831|18449|53097|66079|66320|5079|4251|63621|63446|5165|4653|61716|67113|59780|69023|69600|64152,"Thelma | The Sorrows of Satan: or, The Strange Experience of One Geoffrey Tempest, Millionaire: A Romance | Vendetta: A Story of One Forgotten | A Romance of Two Worlds: A Novel | Temporal Power: A Study in Supremacy | Ardath: The Story of a Dead Self | The Master-Christian | The soul of Lilith | The Secret Power | The Treasure of Heaven: A Romance of Riches | The Murder of Delicia | Free Opinions, Freely Expressed on Certain Phases of Modern Social Life and Conduct | The Young Diana: An Experiment of the Future | Ziska: The Problem of a Wicked Soul | The Life Everlasting: A Reality of Romance | My ""Little Bit"" | The Silver Domino; Or, Side Whispers, Social and Literary | Innocent : her fancy and his fact | God's Good Man: A Simple Love Story | The Devil's Motor: A Fantasy | Boy: A Sketch | Love,—and the Philosopher: A Study in Sentiment | The passing of the great Queen: A tribute to the noble life of Victoria Regina | A Christmas greeting | The Strange Visitation",true
Elizabeth von Arnim,Arnim,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,16,16389|1327|36295|33762|14646|5991|35072|13141|34366|30302|35282|73308|72356|59307|72979|12683,The Enchanted April | Elizabeth and Her German Garden | The Pastor's Wife | The Adventures of Elizabeth in Rügen | Christopher and Columbus | The Solitary Summer | In the Mountains | The Princess Priscilla's Fortnight | Vera | The Benefactress | Fräulein Schmidt and Mr. Anstruther | Love | The caravaners | The April Baby's Book of Tunes: with the story of how they came to be written | Introduction to Sally | Christine,true
H. Rider Haggard,Haggard,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,67,22454|2166|21440|3155|5228|2722|58163|5174|5745|1724|1848|2721|2769|1207|1711|1368|5175|1690|3096|10892|6769|6051|2857|3094|2727|2842|2856|3153|6073|2762|3097|5746|8184|8667|11913|2841|5898|2764|4074|5754|2713|11882|2602|2761|2729|2893|66095|13434|3813|2855|3709|65998|66528|59422|2730|2728|9780|5764|72182|44649|64840|64267|64875|66915|72906|76643|64473,"Heart of the World | King Solomon's Mines | Allan Quatermain | She | Ayesha, the Return of She | Morning Star | Index of the Project Gutenberg Works of Henry Rider Haggard | Allan and the Holy Flower | She and Allan | Finished | Montezuma's Daughter | Eric Brighteyes | Cleopatra | Nada the Lily | Child of Storm | When the World Shook: Being an Account of the Great Adventure of Bastin, Bickley and Arbuthnot | Pearl-Maiden: A Tale of the Fall of Jerusalem | Marie: An Episode in the Life of the Late Allan Quatermain | Beatrice | Dawn | The People of the Mist | Stella Fregelius: A Tale of Three Destinies | A Yellow God: An Idol of Africa | Red Eve | Allan's Wife | Black Heart and White Heart: A Zulu Idyll | Moon of Israel: A Tale of the Exodus | The Virgin of the Sun | Smith and the Pharaohs, and other Tales | The Brethren | The Wanderer's Necklace | The Ancient Allan | The Ghost Kings | Cetywayo and his White Neighbours: Remarks on Recent Events in Zululand, Natal, and the Transvaal | Mr. Meeson's Will | The Ivory Child | Jess | The Mahatma and the Hare: A Dream Story | Swallow: A Tale of the Great Trek | Lysbeth, a Tale of the Dutch | Maiwa's Revenge; Or, The War of the Little Hand | Colonel Quaritch, V.C.: A Tale of Country Life | Queen Sheba's Ring | Benita, an African romance | A Tale of Three Lions | The Wizard | Queen of the Dawn: A Love Tale of Old Egypt | Regeneration: Being an Account of the Social Work of The Salvation Army in Great Britain | The Lady of Blossholme | Elissa; Or, The Doom of Zimbabwe | Love Eternal | The Witch's Head | Joan Haste | Wisdom's Daughter: The Life and Love Story of She-Who-Must-be-Obeyed | Long Odds | Hunter Quatermain's Story | Fair Margaret | Doctor Therne | Hannibal's daughter | The Last Boer War | Healing Rays in Space | Girl of the Silver Sphere | Derelicts of Uranus | The Spring of a Lion | The way of the spirit | Heu-Heu, or The monster | Task of Tau",true
